Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C101, C103, C126, C130, C133, C134, C141, C142, C15, C152, C153, C159, C160, C166, C167, C2, C21, C22, C23, C32, C33, C37, C40, C41, C42, C43, C44, C56, C66, C68, C70, C87, C89, C90, C94, C98",0603,37,4u7,
"C10, C11, C12, C3, C4, C5, C6, C7, C8, C9",0402,10,220n,
"C100, C102, C104, C105, C106, C107, C108, C109, C118, C124, C125, C127, C129, C135, C136, C137, C138, C143, C144, C145, C146, C148, C150, C151, C154, C155, C156, C157, C161, C162, C163, C164, C168, C169, C17, C170, C171, C18, C19, C20, C25, C27, C28, C29, C30, C31, C35, C36, C38, C39, C47, C54, C55, C67, C69, C71, C91, C92, C95, C99",0201,60,470n,
"C110, C111, C113, C114, C115, C116, C117, C119, C120, C122, C123, C139, C14, C16, C57, C58, C59, C60, C61, C62, C63, C64, C65, C73, C74, C76, C77, C78, C79, C80, C81, C82, C83, C84, C86, C93",0402,36,100n,
"C112, C121, C46",0402,3,1u,
"C128, C72",0603,2,47n,
"C13, C172",0402,2,10n,
"C131, C132, C140, C147, C149, C158, C165, C34, C45, C49, C51, C53, C75, C85, C88",1206,15,47u,
C24,CP_EIA-3528-21_Kemet-B,1,330u,C542287
C26,1206,1,100u,C15008
C48,0402,1,68pF,
"C50, C96, C97",0402,3,33p,
C52,0402,1,22pF,
"D1, D2",0805,2,KT-0805Y,C2296
D3,D_SOD-323,1,1N5819WS,1N5819WS
D4,0805,1,KT-0805G,C2297
"FB1, FB2",0805,2,120@100MHz,C5120901
J1,M.2 M-Key 2242,1,Bus_M.2_Edge_M,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
J7,HDMI_Micro-D_Molex_46765-1xxx,1,HDMI_D_1.4,C711358
"L1, L2, L3, L4, L6",L_Sunlord_SWPA4030S,5,1u5,C42100
"R1, R31",0402,2,100,
"R10, R11, R12, R13, R34, R38, R39, R40, R41, R45, R46, R5, R51, R53, R54, R7, R9",0402,17,10k,
"R14, R15, R17, R18, R2, R24, R3, R42, R43, R44, R56, R57, R76, R77",0402,14,1k,
R16,0402,1,240,
"R19, R20, R21, R22, R23, R27, R28, R30, R59, R60, R61, R62",0402,12,4k7,
"R25, R26, R29, R32, R36, R37, R75",0402,7,22,
"R33, R47",0603,2,30k,
"R35, R6",0603,2,4k99,
R4,0402,1,2k,
"R48, R49",0402,2,5k1,
R52,0402,1,2k2,
R55,0402,1,12k,
"R58, R65",0402,2,100k,
R8,0603,1,8k2,
SW1,SW_SPST_TS-1088-xR020,1,SW_Push,C720477
U1,Xilinx_FGG484,1,XC7A50T-FGG484,
U10,QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm,1,FT2232HQ,
U11,FBGA-96_8x14mm_Layout9x16_P0.8mm,1,MT41J128M16JT-125:K,C426885
U12,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306DC1,C129510
"U14, U15, U16",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,3,UCL0524P,C2835428
U17,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,1,TPS62132,
U2,QFN-28_L5.0-W5.0-P0.50-TL-EP3.2,1,MAX20029ATIA/V+,C1235515
"U3, U4, U6",Texas_DRT-3,3,TPD2EUSB30,
U5,Texas_VQFN-HR-12_2x2.5mm_P0.5mm_ThermalVias,1,TPS2121RUXR,C485916
U7,W-PDFN-8-1EP_6x5mm_P1.27mm_EP3x3mm,1,MT25QL128ABA1EW7-0SIT,C2887898
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,M93C56-WMN6TP,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
Y3,Oscillator_SMD_SiT_PQFN-4Pin_5.0x3.2mm,1,100MHz,C78882
