Designator,Mid X,Mid Y,Rotation,Layer
C1,135.425,-134.7,90.0,bottom
C10,152.2,-135.27,270.0,top
C100,133.56,-71.05,0.0,bottom
C101,143.8,-71.225,270.0,top
C102,141.525,-73.375,0.0,bottom
C103,141.475,-66.85,90.0,bottom
C104,141.075,-69.45,90.0,bottom
C105,143.375,-66.92,90.0,top
C106,138.07,-72.75,180.0,bottom
C107,134.86,-68.0,90.0,bottom
C108,134.577826,-64.4,270.0,bottom
C109,138.85,-63.475,0.0,bottom
C11,139.3,-135.27,270.0,top
C110,146.85,-84.2,180.0,bottom
C111,200.75,-100.42,0.0,top
C112,194.96,-87.985,0.0,top
C113,143.67,-115.15,0.0,top
C114,143.675,-114.225,0.0,top
C115,143.675,-113.3,0.0,top
C116,143.675,-112.375,0.0,top
C117,143.675,-111.45,0.0,top
C118,147.05,-94.545,270.0,bottom
C119,143.675,-110.525,0.0,top
C12,140.225,-135.27,270.0,top
C120,188.6,-107.91,180.0,top
C121,182.605,-116.35,180.0,top
C122,148.575,-121.875,90.0,top
C123,154.2,-121.845,270.0,top
C124,142.5,-88.11,180.0,bottom
C125,139.25,-89.1,180.0,bottom
C126,138.75,-74.93,90.0,bottom
C127,137.67,-74.45,90.0,bottom
C128,135.83,-73.05,180.0,bottom
C129,133.31,-83.88,270.0,bottom
C13,150.0,-75.75,180.0,bottom
C130,135.21,-83.88,180.0,bottom
C131,135.4,-85.78,180.0,bottom
C132,118.38,-110.425,0.0,top
C133,135.2,-92.45,0.0,bottom
C134,138.9,-94.4,0.0,bottom
C135,139.275,-92.8,0.0,bottom
C136,136.25,-90.175,180.0,bottom
C137,136.25,-93.8,0.0,bottom
C138,140.25,-97.225,0.0,bottom
C139,136.43,-84.54,180.0,top
C14,143.675,-117.0,0.0,top
C140,118.38,-113.775,0.0,top
C141,139.275,-99.5,180.0,bottom
C142,135.225,-97.475,180.0,bottom
C143,137.275,-101.8,180.0,bottom
C144,140.25,-100.8,180.0,bottom
C145,136.25,-98.8,180.0,bottom
C146,135.25,-95.8,180.0,bottom
C147,116.82,-124.135,0.0,top
C148,146.45,-100.975,270.0,bottom
C149,169.0,-96.2,0.0,top
C15,152.925,-134.695,90.0,bottom
C150,144.25,-102.8,180.0,bottom
C151,143.25,-92.875,180.0,bottom
C152,151.8,-85.7,180.0,bottom
C153,150.18,-92.41,180.0,bottom
